id,year,age,number_of_visits,county
296,2012,Children (0-17),19.0,Los Angeles
297,2012,Adults (18+),73.0,Los Angeles
298,2012,AllAges,78.0,Los Angeles
299,2012,Children (0-17),18.0,Los Angeles
300,2012,Adults (18+),60.0,Los Angeles
301,2012,Adults (18+),0.0,Riverside
302,2012,AllAges,228.0,Los Angeles
303,2012,Children (0-17),107.0,Los Angeles
304,2012,Adults (18+),121.0,Los Angeles
305,2012,AllAges,69.0,Los Angeles
306,2012,Children (0-17),31.0,Los Angeles
307,2012,Adults (18+),38.0,Los Angeles
308,2012,AllAges,107.0,Los Angeles
309,2012,Children (0-17),47.0,Los Angeles
310,2012,Adults (18+),60.0,Los Angeles
311,2012,AllAges,113.0,Los Angeles
312,2012,Children (0-17),48.0,Los Angeles
313,2012,Adults (18+),65.0,Los Angeles
314,2012,AllAges,94.0,Los Angeles
315,2012,Children (0-17),42.0,Los Angeles
316,2012,Adults (18+),52.0,Los Angeles
317,2012,AllAges,187.0,Los Angeles
318,2012,Children (0-17),77.0,Los Angeles
319,2012,Adults (18+),110.0,Los Angeles
320,2012,AllAges,167.0,Los Angeles
321,2012,Children (0-17),69.0,Los Angeles
322,2012,Adults (18+),98.0,Los Angeles
323,2012,AllAges,85.0,Los Angeles
324,2012,Children (0-17),40.0,Los Angeles
325,2012,Adults (18+),45.0,Los Angeles
326,2012,AllAges,224.0,Los Angeles
327,2012,Children (0-17),114.0,Los Angeles
328,2012,Adults (18+),110.0,Los Angeles
329,2012,AllAges,221.0,Los Angeles
330,2012,Children (0-17),107.0,Los Angeles
331,2012,Adults (18+),114.0,Los Angeles
332,2012,AllAges,177.0,Los Angeles
333,2012,Children (0-17),86.0,Los Angeles
334,2012,Adults (18+),91.0,Los Angeles
335,2012,AllAges,215.0,Orange
336,2012,Children (0-17),77.0,Orange
337,2012,Adults (18+),138.0,Orange
338,2012,AllAges,193.0,Orange
339,2012,Children (0-17),92.0,Orange
340,2012,Adults (18+),101.0,Orange
341,2012,AllAges,38.0,Orange
342,2012,Children (0-17),19.0,Orange
343,2012,Adults (18+),19.0,Orange
344,2012,AllAges,141.0,Orange
345,2012,Children (0-17),56.0,Orange
346,2012,Adults (18+),85.0,Orange
347,2012,AllAges,314.0,Orange
348,2012,Children (0-17),144.0,Orange
349,2012,Adults (18+),170.0,Orange
350,2012,AllAges,140.0,Los Angeles
351,2012,Children (0-17),47.0,Los Angeles
352,2012,Adults (18+),93.0,Los Angeles
353,2012,AllAges,311.0,Los Angeles
354,2012,Children (0-17),141.0,Los Angeles
355,2012,Adults (18+),170.0,Los Angeles
356,2012,AllAges,517.0,Los Angeles
357,2012,Children (0-17),214.0,Los Angeles
358,2012,Adults (18+),303.0,Los Angeles
359,2012,AllAges,348.0,Los Angeles
360,2012,Children (0-17),177.0,Los Angeles
361,2012,Adults (18+),171.0,Los Angeles
362,2012,AllAges,78.0,Los Angeles
363,2012,Children (0-17),36.0,Los Angeles
364,2012,Adults (18+),42.0,Los Angeles
365,2012,AllAges,140.0,Orange
366,2012,Children (0-17),57.0,Orange
367,2012,Adults (18+),83.0,Orange
368,2012,AllAges,63.0,Los Angeles
369,2012,Children (0-17),35.0,Los Angeles
370,2012,Adults (18+),28.0,Los Angeles
371,2012,AllAges,160.0,Los Angeles
372,2012,Children (0-17),61.0,Los Angeles
373,2012,Adults (18+),99.0,Los Angeles
374,2012,AllAges,20.0,Los Angeles
375,2012,Children (0-17),0.0,Los Angeles
376,2012,Adults (18+),16.0,Los Angeles
377,2012,AllAges,470.0,Los Angeles
378,2012,Children (0-17),181.0,Los Angeles
379,2012,Adults (18+),289.0,Los Angeles
380,2012,AllAges,99.0,Los Angeles
381,2012,Children (0-17),42.0,Los Angeles
382,2012,Adults (18+),57.0,Los Angeles
383,2012,AllAges,115.0,Los Angeles
384,2012,Children (0-17),55.0,Los Angeles
385,2012,Adults (18+),60.0,Los Angeles
386,2012,AllAges,97.0,Los Angeles
387,2012,Children (0-17),46.0,Los Angeles
388,2012,Adults (18+),51.0,Los Angeles
389,2012,AllAges,135.0,Los Angeles
390,2012,Children (0-17),61.0,Los Angeles
391,2012,Adults (18+),74.0,Los Angeles
392,2012,AllAges,89.0,Los Angeles
393,2012,Children (0-17),50.0,Los Angeles
394,2012,Adults (18+),39.0,Los Angeles
395,2012,AllAges,88.0,Los Angeles
396,2012,Children (0-17),31.0,Los Angeles
397,2012,Adults (18+),57.0,Los Angeles
398,2012,AllAges,56.0,Orange
399,2012,Children (0-17),19.0,Orange
400,2012,Adults (18+),37.0,Orange
401,2012,AllAges,267.0,Los Angeles
402,2012,Adults (18+),0.0,Orange
403,2012,Children (0-17),146.0,Los Angeles
404,2012,Adults (18+),121.0,Los Angeles
405,2012,AllAges,414.0,Los Angeles
406,2012,Children (0-17),160.0,Los Angeles
407,2012,Adults (18+),254.0,Los Angeles
408,2012,AllAges,74.0,Los Angeles
409,2012,Children (0-17),23.0,Los Angeles
410,2012,Adults (18+),51.0,Los Angeles
411,2012,AllAges,39.0,Orange
412,2012,Children (0-17),0.0,Orange
413,2012,Adults (18+),28.0,Orange
414,2012,AllAges,317.0,Los Angeles
415,2012,Children (0-17),163.0,Los Angeles
416,2012,Adults (18+),154.0,Los Angeles
417,2012,AllAges,287.0,Los Angeles
418,2012,Children (0-17),132.0,Los Angeles
419,2012,Adults (18+),155.0,Los Angeles
420,2012,AllAges,190.0,Los Angeles
421,2012,Children (0-17),73.0,Los Angeles
422,2012,Adults (18+),117.0,Los Angeles
423,2012,AllAges,34.0,Los Angeles
424,2012,Children (0-17),14.0,Los Angeles
425,2012,Adults (18+),20.0,Los Angeles
426,2012,AllAges,248.0,Los Angeles
427,2012,Children (0-17),58.0,Los Angeles
428,2012,Adults (18+),190.0,Los Angeles
429,2012,AllAges,74.0,Los Angeles
430,2012,Children (0-17),26.0,Los Angeles
431,2012,Adults (18+),48.0,Los Angeles
432,2012,AllAges,292.0,Los Angeles
433,2012,Children (0-17),115.0,Los Angeles
434,2012,Adults (18+),177.0,Los Angeles
435,2012,AllAges,728.0,Los Angeles
436,2012,AllAges,292.0,Kern
437,2012,Children (0-17),339.0,Los Angeles
438,2012,Adults (18+),389.0,Los Angeles
439,2012,AllAges,347.0,Los Angeles
440,2012,Children (0-17),125.0,Los Angeles
441,2012,Adults (18+),222.0,Los Angeles
442,2012,AllAges,121.0,Los Angeles
443,2012,Children (0-17),51.0,Los Angeles
444,2012,Adults (18+),70.0,Los Angeles
445,2012,AllAges,93.0,Los Angeles
446,2012,Children (0-17),28.0,Los Angeles
447,2012,Adults (18+),65.0,Los Angeles
448,2012,AllAges,222.0,Los Angeles
449,2012,Children (0-17),79.0,Los Angeles
450,2012,Adults (18+),143.0,Los Angeles
451,2012,AllAges,667.0,Los Angeles
452,2012,Children (0-17),228.0,Los Angeles
453,2012,Adults (18+),439.0,Los Angeles
454,2012,AllAges,43.0,Los Angeles
455,2012,Children (0-17),12.0,Los Angeles
456,2012,Adults (18+),31.0,Los Angeles
457,2012,AllAges,106.0,Los Angeles
458,2012,Children (0-17),33.0,Los Angeles
459,2012,Adults (18+),73.0,Los Angeles
460,2012,AllAges,151.0,Los Angeles
461,2012,Children (0-17),50.0,Los Angeles
462,2012,Adults (18+),101.0,Los Angeles
463,2012,AllAges,47.0,Los Angeles
464,2012,Children (0-17),17.0,Los Angeles
465,2012,Adults (18+),30.0,Los Angeles
466,2012,AllAges,45.0,Los Angeles
467,2012,Children (0-17),18.0,Los Angeles
468,2012,Adults (18+),27.0,Los Angeles
469,2012,AllAges,158.0,Los Angeles
